id,age,sex,education
22DD920316420BE2DF8D6EE651BA174B,1,1,4
5BB424C7298B2CB67C368DDB73D4D336,4,2,0
410891627A7284154408E9AB188DC6F4,1,2,5
70901A790856356C1193040D4952233A,6,1,3
B62AB59182F2C975FE0A7CDDAB8294AE,3,1,2
FFF9CBCF1EA518CBD69266258684E0E4,2,1,4
E4150DE29517CA93BC06A9950916954F,3,1,3
956F69346254CC8527125FB2E85C4627,3,1,3
6A63E30FF9D6E5A12EC0F37BECF36649,3,1,3
20742B64217FCCBA277A41B7D7E9E938,1,1,5
69F2525EA91927552B8D5B8FCBCCF4FD,4,2,0
8A13045DF548A6CA3EB3EC141BFBA986,1,1,5
65B7C5254683691429CCF1D82184EC4D,1,2,5
5EDD65053CC5C4A1DD80E1C60C71947F,3,2,3
3C4EE58866A035740986445D7B888201,5,2,4
DFB13A17A259200374670A3260F41A71,3,2,3
B0C9339ABDD8A7A7F8FF5C3B6544F9C0,3,1,3
6B8279DA8A3761DDB955233B10C597B5,1,1,5
92B73FC2CB675BE5DC2DA9797FA2E72D,4,1,3
E14D4DB125364CAA9D07D0B22F7A897F,3,1,3
B6A3839D21BEE1637BAB7F992E53B91D,2,2,5
52AEE7641691E5F3401E15E9F1469CCA,1,1,5
04931FD222145C0FB0F5C39193D6680A,2,2,5
F4D12BF481AB5A536F295084D1B6CD8C,2,1,5
69CF617E44671A4879478E5D365AAD0A,4,1,0
76D457A6DEBFB859D67FDBD1AC9E487D,3,1,3
3AA802A16AFE7B2E33381FC393BEC191,2,2,4
0C3DDF74CFDDB2F68B98C3012AFB23B4,4,2,4
2D4813C00A992C08F466288D13F27B3A,2,1,4
2B4847658347EE6704B98725C005B6D6,4,2,4
3BC155D50B3A81A1113E5C0610B9FCFE,1,1,5
07307BB437BB5235D535FAE14A317A71,1,1,5
85D9A3DEC3A734925C7432A24BB59452,2,1,5
9E80B475DB2471C2F37B765749054779,1,1,0
1A9C7F45CBF0FFDB75A512E49B8A8352,2,2,5
619B545CA367DFAABEA5A8E1C6CF697D,3,1,4
2B263D215F9A678D05583114F8E4586F,1,1,0
8AEF6065B0E1469217FA3A806B9FBA5C,4,2,6
91337DEB619A2F9372BA53E01E4CB71A,1,1,5
A745145824D33AB471D785C4C4278A51,1,2,6
184C4AFEB67499F4A1B7C180BCB711F8,3,2,3
B271FD7B19492578640FA4F381E0572F,1,1,5
024F6479DCD80516C42AE88620EE9ECD,1,1,0
2E6BB03D81228C26EEE126C7D66F788D,1,2,5
4CCBB201078C9679B6E144468FCEA76C,1,1,4
579A47A080624EF6164FC06FEA3CFCEA,4,2,3
D76C83B8DC7160B0C92C9E4BD56F5AD4,4,2,3
2057EBEBCF1F7EE4C910E7B2C03BF9D8,2,2,0
2159DFA65545AB89D0E14B013E99587A,4,2,3
86319F35D189BD2B54B1A70A93989F79,1,1,5
66B8466CC082AAB1CB6B137035EDE780,3,1,3
7C63C25CEB6E6971B88A9894EE9436E1,1,0,5
7368747E917E49E6D260E2F9C24F8058,1,1,5
112D452243427658508FFFD4DAD5E787,3,2,4
B3CE3E32D46558882627EB5B38EF2D93,2,1,5
C528D70FCB850129952F577C73C1D234,1,2,5
3B054CC65BBAEC550E31B268612A87DA,3,2,4
D178518434B5DA3D44495EC956C6A2DC,3,2,3
